Adaptive Rate Log (interval=1s)
Time,Dist(km),Elev,BF(dB),SNR,Rate(Mbps),Status
171.00s,   1485.10,   50.11°,  10.37,   22.79 dB,    1894.53,  [OK   >=40.00°]
172.00s,   1487.09,   50.00°,  10.37,   22.77 dB,    1892.94,  [OK   >=40.00°]
173.00s,   1489.12,   49.87°,  10.36,   22.75 dB,    1891.32,  [OK   >=40.00°]
174.00s,   1491.20,   49.75°,  10.35,   22.73 dB,    1889.67,  [OK   >=40.00°]
175.00s,   1493.32,   49.63°,  10.34,   22.71 dB,    1887.99,  [OK   >=40.00°]
176.00s,   1495.47,   49.50°,  10.33,   22.69 dB,    1886.27,  [OK   >=40.00°]
177.00s,   1497.68,   49.37°,  10.32,   22.67 dB,    1884.53,  [OK   >=40.00°]
178.00s,   1499.92,   49.24°,  10.32,   22.65 dB,    1882.75,  [OK   >=40.00°]
179.00s,   1502.20,   49.11°,  10.31,   22.63 dB,    1880.94,  [OK   >=40.00°]
180.00s,   1504.53,   48.97°,  10.30,   22.60 dB,    1879.10,  [OK   >=40.00°]
181.00s,   1506.90,   48.84°,  10.29,   22.58 dB,    1877.23,  [OK   >=40.00°]
182.00s,   1509.30,   48.70°,  10.28,   22.56 dB,    1875.34,  [OK   >=40.00°]
183.00s,   1511.75,   48.56°,  10.27,   22.53 dB,    1873.41,  [OK   >=40.00°]
184.00s,   1514.24,   48.42°,  10.26,   22.51 dB,    1871.45,  [OK   >=40.00°]
185.00s,   1516.77,   48.28°,  10.25,   22.49 dB,    1869.46,  [OK   >=40.00°]
186.00s,   1519.34,   48.14°,  10.24,   22.46 dB,    1867.45,  [OK   >=40.00°]
187.00s,   1521.95,   47.99°,  10.23,   22.44 dB,    1865.40,  [OK   >=40.00°]
188.00s,   1524.60,   47.85°,  10.22,   22.41 dB,    1863.33,  [OK   >=40.00°]
189.00s,   1527.29,   47.70°,  10.21,   22.39 dB,    1861.23,  [OK   >=40.00°]
190.00s,   1530.02,   47.55°,  10.20,   22.36 dB,    1859.10,  [OK   >=40.00°]
191.00s,   1532.79,   47.40°,  10.19,   22.33 dB,    1856.95,  [OK   >=40.00°]
192.00s,   1535.59,   47.25°,  10.18,   22.31 dB,    1854.77,  [OK   >=40.00°]
193.00s,   1538.44,   47.10°,  10.17,   22.28 dB,    1852.56,  [OK   >=40.00°]
194.00s,   1541.32,   46.94°,  10.16,   22.25 dB,    1850.32,  [OK   >=40.00°]
195.00s,   1544.24,   46.79°,  10.15,   22.23 dB,    1848.06,  [OK   >=40.00°]
196.00s,   1547.20,   46.63°,  10.14,   22.20 dB,    1845.77,  [OK   >=40.00°]
197.00s,   1550.20,   46.48°,  10.13,   22.17 dB,    1843.45,  [OK   >=40.00°]
198.00s,   1553.24,   46.32°,  10.12,   22.14 dB,    1841.11,  [OK   >=40.00°]
199.00s,   1556.31,   46.16°,  10.10,   22.11 dB,    1838.75,  [OK   >=40.00°]
200.00s,   1559.42,   46.00°,  10.09,   22.09 dB,    1836.36,  [OK   >=40.00°]
201.00s,   1562.57,   45.84°,  10.08,   22.06 dB,    1833.95,  [OK   >=40.00°]
202.00s,   1565.75,   45.68°,  10.07,   22.03 dB,    1831.51,  [OK   >=40.00°]
203.00s,   1568.97,   45.52°,  10.06,   22.00 dB,    1829.04,  [OK   >=40.00°]
204.00s,   1572.23,   45.36°,  10.04,   21.97 dB,    1826.56,  [OK   >=40.00°]
205.00s,   1575.52,   45.20°,  10.03,   21.94 dB,    1824.05,  [OK   >=40.00°]
206.00s,   1578.85,   45.03°,  10.02,   21.91 dB,    1821.52,  [OK   >=40.00°]
207.00s,   1582.21,   44.87°,  10.01,   21.87 dB,    1818.96,  [OK   >=40.00°]
208.00s,   1585.61,   44.70°,  10.00,   21.84 dB,    1816.38,  [OK   >=40.00°]
209.00s,   1589.04,   44.54°,   9.98,   21.81 dB,    1813.78,  [OK   >=40.00°]
210.00s,   1592.51,   44.37°,   9.97,   21.78 dB,    1811.16,  [OK   >=40.00°]
211.00s,   1596.02,   44.20°,   9.96,   21.75 dB,    1808.51,  [OK   >=40.00°]
212.00s,   1599.55,   44.04°,   9.94,   21.72 dB,    1805.85,  [OK   >=40.00°]
213.00s,   1603.13,   43.87°,   9.93,   21.68 dB,    1803.16,  [OK   >=40.00°]
214.00s,   1606.73,   43.70°,   9.92,   21.65 dB,    1800.45,  [OK   >=40.00°]
215.00s,   1610.37,   43.53°,   9.90,   21.62 dB,    1797.73,  [OK   >=40.00°]
216.00s,   1614.04,   43.36°,   9.89,   21.58 dB,    1794.98,  [OK   >=40.00°]
217.00s,   1617.75,   43.19°,   9.88,   21.55 dB,    1792.21,  [OK   >=40.00°]
218.00s,   1621.49,   43.02°,   9.86,   21.52 dB,    1789.42,  [OK   >=40.00°]
219.00s,   1625.26,   42.85°,   9.85,   21.48 dB,    1786.61,  [OK   >=40.00°]
220.00s,   1629.07,   42.68°,   9.83,   21.45 dB,    1783.79,  [OK   >=40.00°]
221.00s,   1632.90,   42.51°,   9.82,   21.41 dB,    1780.94,  [OK   >=40.00°]
222.00s,   1636.77,   42.34°,   9.81,   21.38 dB,    1778.08,  [OK   >=40.00°]
223.00s,   1640.67,   42.17°,   9.79,   21.34 dB,    1775.19,  [OK   >=40.00°]
224.00s,   1644.61,   42.00°,   9.78,   21.31 dB,    1772.29,  [OK   >=40.00°]
225.00s,   1648.57,   41.83°,   9.76,   21.27 dB,    1769.37,  [OK   >=40.00°]
226.00s,   1652.57,   41.65°,   9.75,   21.24 dB,    1766.44,  [OK   >=40.00°]
227.00s,   1656.59,   41.48°,   9.73,   21.20 dB,    1763.48,  [OK   >=40.00°]
228.00s,   1660.65,   41.31°,   9.72,   21.17 dB,    1760.51,  [OK   >=40.00°]
229.00s,   1664.73,   41.14°,   9.70,   21.13 dB,    1757.52,  [OK   >=40.00°]
230.00s,   1668.85,   40.96°,   9.69,   21.09 dB,    1754.52,  [OK   >=40.00°]
231.00s,   1673.00,   40.79°,   9.67,   21.06 dB,    1751.50,  [OK   >=40.00°]
232.00s,   1677.18,   40.62°,   9.66,   21.02 dB,    1748.46,  [OK   >=40.00°]
233.00s,   1681.38,   40.45°,   9.64,   20.98 dB,    1745.41,  [OK   >=40.00°]
234.00s,   1685.62,   40.27°,   9.63,   20.95 dB,    1742.34,  [OK   >=40.00°]
235.00s,   1689.88,   40.10°,   9.61,   20.91 dB,    1739.26,  [OK   >=40.00°]
236.00s,   1694.18,   39.93°,   9.60,   20.87 dB,       0.00,  [DOWN <40.00°]
237.00s,   1698.50,   39.76°,   9.58,   20.83 dB,       0.00,  [DOWN <40.00°]
238.00s,   1702.85,   39.58°,   9.57,   20.79 dB,       0.00,  [DOWN <40.00°]
239.00s,   1707.23,   39.41°,   9.55,   20.76 dB,       0.00,  [DOWN <40.00°]
240.00s,   1711.64,   39.24°,   9.53,   20.72 dB,       0.00,  [DOWN <40.00°]
241.00s,   1716.07,   39.07°,   9.52,   20.68 dB,       0.00,  [DOWN <40.00°]
242.00s,   1720.53,   38.90°,   9.50,   20.64 dB,       0.00,  [DOWN <40.00°]
243.00s,   1725.02,   38.72°,   9.49,   20.60 dB,       0.00,  [DOWN <40.00°]
244.00s,   1729.54,   38.55°,   9.47,   20.56 dB,       0.00,  [DOWN <40.00°]
245.00s,   1734.08,   38.38°,   9.45,   20.52 dB,       0.00,  [DOWN <40.00°]
246.00s,   1738.65,   38.21°,   9.44,   20.48 dB,       0.00,  [DOWN <40.00°]
247.00s,   1743.25,   38.04°,   9.42,   20.44 dB,       0.00,  [DOWN <40.00°]
248.00s,   1747.87,   37.87°,   9.40,   20.41 dB,       0.00,  [DOWN <40.00°]
249.00s,   1752.52,   37.70°,   9.39,   20.37 dB,       0.00,  [DOWN <40.00°]
250.00s,   1757.20,   37.53°,   9.37,   20.33 dB,       0.00,  [DOWN <40.00°]
251.00s,   1761.90,   37.36°,   9.35,   20.29 dB,       0.00,  [DOWN <40.00°]
252.00s,   1766.62,   37.18°,   9.34,   20.25 dB,       0.00,  [DOWN <40.00°]
253.00s,   1771.37,   37.01°,   9.32,   20.20 dB,       0.00,  [DOWN <40.00°]
254.00s,   1776.15,   36.85°,   9.30,   20.16 dB,       0.00,  [DOWN <40.00°]
255.00s,   1780.95,   36.68°,   9.28,   20.12 dB,       0.00,  [DOWN <40.00°]
256.00s,   1785.77,   36.51°,   9.27,   20.08 dB,       0.00,  [DOWN <40.00°]
257.00s,   1790.62,   36.34°,   9.25,   20.04 dB,       0.00,  [DOWN <40.00°]
258.00s,   1795.49,   36.17°,   9.23,   20.00 dB,       0.00,  [DOWN <40.00°]
259.00s,   1800.39,   36.00°,   9.22,   19.96 dB,       0.00,  [DOWN <40.00°]
260.00s,   1805.31,   35.83°,   9.20,   19.92 dB,       0.00,  [DOWN <40.00°]
261.00s,   1810.26,   35.67°,   9.18,   19.88 dB,       0.00,  [DOWN <40.00°]
262.00s,   1815.23,   35.50°,   9.16,   19.84 dB,       0.00,  [DOWN <40.00°]
262.00s,   1692.39,   40.00°,   9.60,   20.89 dB,    1737.45,  [OK   >=40.00°]
263.00s,   1691.75,   40.03°,   9.61,   20.89 dB,    1737.91,  [OK   >=40.00°]
264.00s,   1691.15,   40.05°,   9.61,   20.90 dB,    1738.34,  [OK   >=40.00°]
265.00s,   1690.59,   40.07°,   9.61,   20.90 dB,    1738.74,  [OK   >=40.00°]
266.00s,   1690.07,   40.09°,   9.61,   20.91 dB,    1739.12,  [OK   >=40.00°]
267.00s,   1689.59,   40.11°,   9.61,   20.91 dB,    1739.47,  [OK   >=40.00°]
268.00s,   1689.15,   40.13°,   9.62,   20.91 dB,    1739.78,  [OK   >=40.00°]
269.00s,   1688.75,   40.15°,   9.62,   20.92 dB,    1740.07,  [OK   >=40.00°]
270.00s,   1688.39,   40.16°,   9.62,   20.92 dB,    1740.33,  [OK   >=40.00°]
271.00s,   1688.07,   40.18°,   9.62,   20.92 dB,    1740.57,  [OK   >=40.00°]
272.00s,   1687.79,   40.19°,   9.62,   20.93 dB,    1740.77,  [OK   >=40.00°]
273.00s,   1687.55,   40.20°,   9.62,   20.93 dB,    1740.94,  [OK   >=40.00°]
274.00s,   1687.35,   40.20°,   9.62,   20.93 dB,    1741.09,  [OK   >=40.00°]
275.00s,   1687.19,   40.21°,   9.62,   20.93 dB,    1741.21,  [OK   >=40.00°]
276.00s,   1687.07,   40.22°,   9.62,   20.93 dB,    1741.29,  [OK   >=40.00°]
277.00s,   1686.98,   40.22°,   9.62,   20.93 dB,    1741.35,  [OK   >=40.00°]
278.00s,   1686.94,   40.22°,   9.62,   20.93 dB,    1741.38,  [OK   >=40.00°]
279.00s,   1686.94,   40.22°,   9.62,   20.93 dB,    1741.38,  [OK   >=40.00°]
280.00s,   1686.98,   40.22°,   9.62,   20.93 dB,    1741.36,  [OK   >=40.00°]
281.00s,   1687.06,   40.22°,   9.62,   20.93 dB,    1741.30,  [OK   >=40.00°]
282.00s,   1687.17,   40.21°,   9.62,   20.93 dB,    1741.21,  [OK   >=40.00°]
283.00s,   1687.33,   40.21°,   9.62,   20.93 dB,    1741.10,  [OK   >=40.00°]
284.00s,   1687.53,   40.20°,   9.62,   20.93 dB,    1740.96,  [OK   >=40.00°]
285.00s,   1687.77,   40.19°,   9.62,   20.93 dB,    1740.79,  [OK   >=40.00°]
286.00s,   1688.04,   40.18°,   9.62,   20.92 dB,    1740.59,  [OK   >=40.00°]
287.00s,   1688.36,   40.16°,   9.62,   20.92 dB,    1740.36,  [OK   >=40.00°]
288.00s,   1688.72,   40.15°,   9.62,   20.92 dB,    1740.10,  [OK   >=40.00°]
289.00s,   1689.11,   40.13°,   9.62,   20.91 dB,    1739.81,  [OK   >=40.00°]
290.00s,   1689.55,   40.12°,   9.61,   20.91 dB,    1739.50,  [OK   >=40.00°]
291.00s,   1690.03,   40.10°,   9.61,   20.91 dB,    1739.15,  [OK   >=40.00°]
292.00s,   1690.54,   40.08°,   9.61,   20.90 dB,    1738.78,  [OK   >=40.00°]
293.00s,   1691.10,   40.05°,   9.61,   20.90 dB,    1738.38,  [OK   >=40.00°]
294.00s,   1691.69,   40.03°,   9.61,   20.89 dB,    1737.95,  [OK   >=40.00°]
295.00s,   1692.33,   40.00°,   9.60,   20.89 dB,    1737.49,  [OK   >=40.00°]
296.00s,   1693.00,   39.98°,   9.60,   20.88 dB,       0.00,  [DOWN <40.00°]
296.00s,   1673.65,   40.77°,   9.67,   21.05 dB,    1751.02,  [OK   >=40.00°]
297.00s,   1668.87,   40.96°,   9.69,   21.09 dB,    1754.50,  [OK   >=40.00°]
298.00s,   1664.12,   41.16°,   9.71,   21.13 dB,    1757.97,  [OK   >=40.00°]
299.00s,   1659.40,   41.36°,   9.72,   21.18 dB,    1761.42,  [OK   >=40.00°]
300.00s,   1654.70,   41.56°,   9.74,   21.22 dB,    1764.87,  [OK   >=40.00°]
301.00s,   1650.03,   41.76°,   9.76,   21.26 dB,    1768.29,  [OK   >=40.00°]
302.00s,   1645.39,   41.96°,   9.77,   21.30 dB,    1771.71,  [OK   >=40.00°]
303.00s,   1640.78,   42.16°,   9.79,   21.34 dB,    1775.12,  [OK   >=40.00°]
304.00s,   1636.19,   42.37°,   9.81,   21.38 dB,    1778.51,  [OK   >=40.00°]
305.00s,   1631.63,   42.57°,   9.83,   21.42 dB,    1781.88,  [OK   >=40.00°]
306.00s,   1627.10,   42.77°,   9.84,   21.47 dB,    1785.25,  [OK   >=40.00°]
307.00s,   1622.60,   42.97°,   9.86,   21.51 dB,    1788.60,  [OK   >=40.00°]
308.00s,   1618.12,   43.18°,   9.87,   21.55 dB,    1791.93,  [OK   >=40.00°]
309.00s,   1613.68,   43.38°,   9.89,   21.59 dB,    1795.25,  [OK   >=40.00°]
310.00s,   1609.26,   43.58°,   9.91,   21.63 dB,    1798.56,  [OK   >=40.00°]
311.00s,   1604.87,   43.79°,   9.92,   21.67 dB,    1801.85,  [OK   >=40.00°]
312.00s,   1600.52,   43.99°,   9.94,   21.71 dB,    1805.13,  [OK   >=40.00°]
313.00s,   1596.19,   44.19°,   9.96,   21.75 dB,    1808.38,  [OK   >=40.00°]
314.00s,   1591.89,   44.40°,   9.97,   21.79 dB,    1811.63,  [OK   >=40.00°]
315.00s,   1587.62,   44.60°,   9.99,   21.82 dB,    1814.86,  [OK   >=40.00°]
316.00s,   1583.39,   44.81°,  10.00,   21.86 dB,    1818.07,  [OK   >=40.00°]
317.00s,   1579.18,   45.02°,  10.02,   21.90 dB,    1821.26,  [OK   >=40.00°]
318.00s,   1575.01,   45.22°,  10.03,   21.94 dB,    1824.44,  [OK   >=40.00°]
319.00s,   1570.86,   45.43°,  10.05,   21.98 dB,    1827.60,  [OK   >=40.00°]
320.00s,   1566.75,   45.63°,  10.07,   22.02 dB,    1830.74,  [OK   >=40.00°]
321.00s,   1562.67,   45.84°,  10.08,   22.05 dB,    1833.87,  [OK   >=40.00°]
322.00s,   1558.62,   46.04°,  10.10,   22.09 dB,    1836.97,  [OK   >=40.00°]
323.00s,   1554.61,   46.25°,  10.11,   22.13 dB,    1840.06,  [OK   >=40.00°]
324.00s,   1550.63,   46.46°,  10.13,   22.17 dB,    1843.13,  [OK   >=40.00°]
325.00s,   1546.68,   46.66°,  10.14,   22.20 dB,    1846.18,  [OK   >=40.00°]
326.00s,   1542.76,   46.87°,  10.15,   22.24 dB,    1849.21,  [OK   >=40.00°]
327.00s,   1538.88,   47.07°,  10.17,   22.28 dB,    1852.22,  [OK   >=40.00°]
328.00s,   1535.03,   47.28°,  10.18,   22.31 dB,    1855.21,  [OK   >=40.00°]
329.00s,   1531.21,   47.48°,  10.20,   22.35 dB,    1858.17,  [OK   >=40.00°]
330.00s,   1527.43,   47.69°,  10.21,   22.39 dB,    1861.12,  [OK   >=40.00°]
331.00s,   1523.68,   47.90°,  10.23,   22.42 dB,    1864.05,  [OK   >=40.00°]
332.00s,   1519.97,   48.10°,  10.24,   22.46 dB,    1866.96,  [OK   >=40.00°]
333.00s,   1516.29,   48.31°,  10.25,   22.49 dB,    1869.84,  [OK   >=40.00°]
334.00s,   1512.65,   48.51°,  10.27,   22.53 dB,    1872.70,  [OK   >=40.00°]
335.00s,   1509.04,   48.71°,  10.28,   22.56 dB,    1875.54,  [OK   >=40.00°]
336.00s,   1505.47,   48.92°,  10.30,   22.59 dB,    1878.36,  [OK   >=40.00°]
337.00s,   1501.94,   49.12°,  10.31,   22.63 dB,    1881.15,  [OK   >=40.00°]
338.00s,   1498.44,   49.32°,  10.32,   22.66 dB,    1883.92,  [OK   >=40.00°]
339.00s,   1494.98,   49.53°,  10.34,   22.69 dB,    1886.67,  [OK   >=40.00°]
340.00s,   1491.55,   49.73°,  10.35,   22.73 dB,    1889.39,  [OK   >=40.00°]
341.00s,   1488.16,   49.93°,  10.36,   22.76 dB,    1892.09,  [OK   >=40.00°]
342.00s,   1484.81,   50.13°,  10.37,   22.79 dB,    1894.76,  [OK   >=40.00°]
343.00s,   1481.50,   50.33°,  10.39,   22.82 dB,    1897.41,  [OK   >=40.00°]
344.00s,   1478.22,   50.53°,  10.40,   22.86 dB,    1900.03,  [OK   >=40.00°]
345.00s,   1474.98,   50.73°,  10.41,   22.89 dB,    1902.63,  [OK   >=40.00°]
346.00s,   1471.78,   50.93°,  10.42,   22.92 dB,    1905.20,  [OK   >=40.00°]
347.00s,   1468.62,   51.13°,  10.44,   22.95 dB,    1907.74,  [OK   >=40.00°]
348.00s,   1465.50,   51.32°,  10.45,   22.98 dB,    1910.26,  [OK   >=40.00°]
349.00s,   1462.42,   51.52°,  10.46,   23.01 dB,    1912.74,  [OK   >=40.00°]
350.00s,   1459.38,   51.71°,  10.47,   23.04 dB,    1915.21,  [OK   >=40.00°]
351.00s,   1456.37,   51.91°,  10.48,   23.07 dB,    1917.64,  [OK   >=40.00°]
352.00s,   1453.41,   52.10°,  10.49,   23.10 dB,    1920.05,  [OK   >=40.00°]
353.00s,   1450.48,   52.29°,  10.51,   23.13 dB,    1922.42,  [OK   >=40.00°]
354.00s,   1447.60,   52.48°,  10.52,   23.16 dB,    1924.77,  [OK   >=40.00°]
355.00s,   1444.76,   52.67°,  10.53,   23.18 dB,    1927.09,  [OK   >=40.00°]
356.00s,   1441.95,   52.86°,  10.54,   23.21 dB,    1929.38,  [OK   >=40.00°]
357.00s,   1439.19,   53.05°,  10.55,   23.24 dB,    1931.64,  [OK   >=40.00°]
358.00s,   1436.47,   53.23°,  10.56,   23.27 dB,    1933.87,  [OK   >=40.00°]
359.00s,   1433.79,   53.42°,  10.57,   23.29 dB,    1936.07,  [OK   >=40.00°]
360.00s,   1431.16,   53.60°,  10.58,   23.32 dB,    1938.23,  [OK   >=40.00°]
361.00s,   1428.56,   53.78°,  10.59,   23.34 dB,    1940.37,  [OK   >=40.00°]
362.00s,   1426.01,   53.96°,  10.60,   23.37 dB,    1942.47,  [OK   >=40.00°]
363.00s,   1423.50,   54.14°,  10.61,   23.39 dB,    1944.55,  [OK   >=40.00°]
364.00s,   1421.03,   54.31°,  10.62,   23.42 dB,    1946.59,  [OK   >=40.00°]
365.00s,   1418.61,   54.49°,  10.63,   23.44 dB,    1948.59,  [OK   >=40.00°]
366.00s,   1416.23,   54.66°,  10.64,   23.47 dB,    1950.57,  [OK   >=40.00°]
367.00s,   1413.89,   54.83°,  10.65,   23.49 dB,    1952.51,  [OK   >=40.00°]
368.00s,   1411.59,   55.00°,  10.66,   23.51 dB,    1954.42,  [OK   >=40.00°]
369.00s,   1409.34,   55.16°,  10.67,   23.54 dB,    1956.29,  [OK   >=40.00°]
370.00s,   1407.14,   55.33°,  10.67,   23.56 dB,    1958.13,  [OK   >=40.00°]
371.00s,   1404.97,   55.49°,  10.68,   23.58 dB,    1959.93,  [OK   >=40.00°]
372.00s,   1402.85,   55.65°,  10.69,   23.60 dB,    1961.70,  [OK   >=40.00°]
373.00s,   1400.78,   55.81°,  10.70,   23.62 dB,    1963.44,  [OK   >=40.00°]
374.00s,   1398.75,   55.96°,  10.71,   23.64 dB,    1965.14,  [OK   >=40.00°]
375.00s,   1396.77,   56.12°,  10.71,   23.66 dB,    1966.80,  [OK   >=40.00°]
376.00s,   1394.83,   56.27°,  10.72,   23.68 dB,    1968.43,  [OK   >=40.00°]
377.00s,   1392.94,   56.41°,  10.73,   23.70 dB,    1970.02,  [OK   >=40.00°]
378.00s,   1391.09,   56.56°,  10.74,   23.72 dB,    1971.58,  [OK   >=40.00°]
379.00s,   1389.29,   56.70°,  10.74,   23.74 dB,    1973.09,  [OK   >=40.00°]
380.00s,   1387.53,   56.84°,  10.75,   23.76 dB,    1974.57,  [OK   >=40.00°]
381.00s,   1385.82,   56.98°,  10.76,   23.78 dB,    1976.02,  [OK   >=40.00°]
382.00s,   1384.16,   57.11°,  10.76,   23.79 dB,    1977.42,  [OK   >=40.00°]
383.00s,   1382.54,   57.24°,  10.77,   23.81 dB,    1978.79,  [OK   >=40.00°]
384.00s,   1380.97,   57.37°,  10.78,   23.83 dB,    1980.12,  [OK   >=40.00°]
385.00s,   1379.45,   57.49°,  10.78,   23.84 dB,    1981.41,  [OK   >=40.00°]
386.00s,   1377.97,   57.61°,  10.79,   23.86 dB,    1982.66,  [OK   >=40.00°]
387.00s,   1376.55,   57.73°,  10.79,   23.87 dB,    1983.88,  [OK   >=40.00°]
388.00s,   1375.16,   57.85°,  10.80,   23.88 dB,    1985.05,  [OK   >=40.00°]
389.00s,   1373.83,   57.96°,  10.81,   23.90 dB,    1986.19,  [OK   >=40.00°]
390.00s,   1372.54,   58.07°,  10.81,   23.91 dB,    1987.28,  [OK   >=40.00°]
391.00s,   1371.30,   58.17°,  10.82,   23.92 dB,    1988.34,  [OK   >=40.00°]
392.00s,   1370.11,   58.27°,  10.82,   23.94 dB,    1989.35,  [OK   >=40.00°]
393.00s,   1368.97,   58.37°,  10.82,   23.95 dB,    1990.33,  [OK   >=40.00°]
394.00s,   1367.87,   58.46°,  10.83,   23.96 dB,    1991.27,  [OK   >=40.00°]
395.00s,   1366.82,   58.55°,  10.83,   23.97 dB,    1992.16,  [OK   >=40.00°]
396.00s,   1365.83,   58.64°,  10.84,   23.98 dB,    1993.01,  [OK   >=40.00°]
397.00s,   1364.87,   58.72°,  10.84,   23.99 dB,    1993.83,  [OK   >=40.00°]
398.00s,   1363.97,   58.80°,  10.84,   24.00 dB,    1994.60,  [OK   >=40.00°]
399.00s,   1363.12,   58.87°,  10.85,   24.01 dB,    1995.33,  [OK   >=40.00°]
400.00s,   1362.31,   58.94°,  10.85,   24.02 dB,    1996.02,  [OK   >=40.00°]
401.00s,   1361.56,   59.01°,  10.85,   24.03 dB,    1996.67,  [OK   >=40.00°]
402.00s,   1360.85,   59.07°,  10.86,   24.03 dB,    1997.27,  [OK   >=40.00°]
403.00s,   1360.19,   59.13°,  10.86,   24.04 dB,    1997.84,  [OK   >=40.00°]
404.00s,   1359.58,   59.18°,  10.86,   24.05 dB,    1998.36,  [OK   >=40.00°]
405.00s,   1359.02,   59.23°,  10.86,   24.05 dB,    1998.84,  [OK   >=40.00°]
406.00s,   1358.51,   59.27°,  10.87,   24.06 dB,    1999.28,  [OK   >=40.00°]
