Adaptive Rate Log (interval=1s)
Time,Dist(km),Elev,BF(dB),SNR,Rate(Mbps),Status
172.86s,   1489.12,   49.87°,  10.36,   22.75 dB,    1891.32,  [OK   >=40.00°]
173.86s,   1491.20,   49.75°,  10.35,   22.73 dB,    1889.67,  [OK   >=40.00°]
174.86s,   1493.32,   49.63°,  10.34,   22.71 dB,    1887.99,  [OK   >=40.00°]
175.86s,   1495.47,   49.50°,  10.33,   22.69 dB,    1886.27,  [OK   >=40.00°]
176.86s,   1497.68,   49.37°,  10.32,   22.67 dB,    1884.53,  [OK   >=40.00°]
177.86s,   1499.92,   49.24°,  10.32,   22.65 dB,    1882.75,  [OK   >=40.00°]
178.86s,   1502.20,   49.11°,  10.31,   22.63 dB,    1880.94,  [OK   >=40.00°]
179.86s,   1504.53,   48.97°,  10.30,   22.60 dB,    1879.10,  [OK   >=40.00°]
180.86s,   1506.90,   48.84°,  10.29,   22.58 dB,    1877.23,  [OK   >=40.00°]
181.86s,   1509.30,   48.70°,  10.28,   22.56 dB,    1875.34,  [OK   >=40.00°]
182.86s,   1511.75,   48.56°,  10.27,   22.53 dB,    1873.41,  [OK   >=40.00°]
183.86s,   1514.24,   48.42°,  10.26,   22.51 dB,    1871.45,  [OK   >=40.00°]
184.86s,   1516.77,   48.28°,  10.25,   22.49 dB,    1869.46,  [OK   >=40.00°]
185.86s,   1519.34,   48.14°,  10.24,   22.46 dB,    1867.45,  [OK   >=40.00°]
186.86s,   1521.95,   47.99°,  10.23,   22.44 dB,    1865.40,  [OK   >=40.00°]
187.86s,   1524.60,   47.85°,  10.22,   22.41 dB,    1863.33,  [OK   >=40.00°]
188.86s,   1527.29,   47.70°,  10.21,   22.39 dB,    1861.23,  [OK   >=40.00°]
189.86s,   1530.02,   47.55°,  10.20,   22.36 dB,    1859.10,  [OK   >=40.00°]
190.86s,   1532.79,   47.40°,  10.19,   22.33 dB,    1856.95,  [OK   >=40.00°]
191.86s,   1535.59,   47.25°,  10.18,   22.31 dB,    1854.77,  [OK   >=40.00°]
192.86s,   1538.44,   47.10°,  10.17,   22.28 dB,    1852.56,  [OK   >=40.00°]
193.86s,   1541.32,   46.94°,  10.16,   22.25 dB,    1850.32,  [OK   >=40.00°]
194.86s,   1544.24,   46.79°,  10.15,   22.23 dB,    1848.06,  [OK   >=40.00°]
195.86s,   1547.20,   46.63°,  10.14,   22.20 dB,    1845.77,  [OK   >=40.00°]
196.86s,   1550.20,   46.48°,  10.13,   22.17 dB,    1843.45,  [OK   >=40.00°]
197.86s,   1553.24,   46.32°,  10.12,   22.14 dB,    1841.11,  [OK   >=40.00°]
198.86s,   1556.31,   46.16°,  10.10,   22.11 dB,    1838.75,  [OK   >=40.00°]
199.86s,   1559.42,   46.00°,  10.09,   22.09 dB,    1836.36,  [OK   >=40.00°]
200.86s,   1562.57,   45.84°,  10.08,   22.06 dB,    1833.95,  [OK   >=40.00°]
201.86s,   1565.75,   45.68°,  10.07,   22.03 dB,    1831.51,  [OK   >=40.00°]
202.86s,   1568.97,   45.52°,  10.06,   22.00 dB,    1829.04,  [OK   >=40.00°]
203.86s,   1572.23,   45.36°,  10.04,   21.97 dB,    1826.56,  [OK   >=40.00°]
204.86s,   1575.52,   45.20°,  10.03,   21.94 dB,    1824.05,  [OK   >=40.00°]
205.86s,   1578.85,   45.03°,  10.02,   21.91 dB,    1821.52,  [OK   >=40.00°]
206.86s,   1582.21,   44.87°,  10.01,   21.87 dB,    1818.96,  [OK   >=40.00°]
207.86s,   1585.61,   44.70°,  10.00,   21.84 dB,    1816.38,  [OK   >=40.00°]
208.86s,   1589.04,   44.54°,   9.98,   21.81 dB,    1813.78,  [OK   >=40.00°]
209.86s,   1592.51,   44.37°,   9.97,   21.78 dB,    1811.16,  [OK   >=40.00°]
210.86s,   1596.02,   44.20°,   9.96,   21.75 dB,    1808.51,  [OK   >=40.00°]
211.86s,   1599.55,   44.04°,   9.94,   21.72 dB,    1805.85,  [OK   >=40.00°]
212.86s,   1603.13,   43.87°,   9.93,   21.68 dB,    1803.16,  [OK   >=40.00°]
213.86s,   1606.73,   43.70°,   9.92,   21.65 dB,    1800.45,  [OK   >=40.00°]
214.86s,   1610.37,   43.53°,   9.90,   21.62 dB,    1797.73,  [OK   >=40.00°]
215.86s,   1614.04,   43.36°,   9.89,   21.58 dB,    1794.98,  [OK   >=40.00°]
216.86s,   1617.75,   43.19°,   9.88,   21.55 dB,    1792.21,  [OK   >=40.00°]
217.86s,   1621.49,   43.02°,   9.86,   21.52 dB,    1789.42,  [OK   >=40.00°]
218.86s,   1625.26,   42.85°,   9.85,   21.48 dB,    1786.61,  [OK   >=40.00°]
